PUEBLO_ID,PUEBLO,REGION
1,ADJUNTAS,CENTRO
2,AGUADA,OESTE
3,AGUADILLA,OESTE
4,AGUAS BUENAS,METRO
5,AIBONITO,CENTRO
6,ANASCO,OESTE
7,ARECIBO,NORTE
8,ARROYO,SUR
9,BARCELONETA,NORTE
10,BARRANQUITAS,CENTRO
11,BAYAMON,METRO
12,CABO ROJO,OESTE
13,CAGUAS,METRO
14,CAMUY,NORTE
15,CANOVANAS,ESTE
16,CAROLINA,METRO
17,CATANO,METRO
18,CAYEY,CENTRO
19,CEIBA,ESTE
20,CIALES,CENTRO
21,CIDRA,CENTRO
22,COAMO,SUR
23,COMERIO,CENTRO
24,COROZAL,CENTRO
25,CULEBRA,ESTE
26,DORADO,NORTE
27,FAJARDO,ESTE
28,FLORIDA,NORTE
29,GUANICA,OESTE
30,GUAYAMA,SUR
31,GUAYANILLA,SUR
32,GUAYNABO,METRO
33,GURABO,METRO
34,HATILLO,NORTE
35,HORMIGUEROS,OESTE
36,HUMACAO,ESTE
37,ISABELA,OESTE
38,JAYUYA,CENTRO
39,JUANA DIAZ,SUR
40,JUNCOS,ESTE
41,LAJAS,OESTE
42,LARES,OESTE
43,LAS MARIAS,OESTE
44,LAS PIEDRAS,ESTE
45,LOIZA,ESTE
46,LUQUILLO,ESTE
47,MANATI,NORTE
48,MARICAO,OESTE
49,MAUNABO,ESTE
50,MAYAGUEZ,OESTE
51,MOCA,OESTE
52,MOROVIS,CENTRO
53,NARANJITO,CENTRO
54,NAGUABO,CENTRO
55,OROCOVIS,CENTRO
56,PATILLAS,SUR
57,PENUELAS,SUR
58,PONCE,SUR
59,QUEBRADILLAS,OESTE
60,RINCON,OESTE
61,RIO GRANDE,ESTE
62,SABANA GRANDE,OESTE
63,SALINAS,SUR
64,SAN GERMAN,OESTE
65,SAN JUAN,METRO
66,SAN LORENZO,ESTE
67,SAN SEBASTIAN,OESTE
68,SANTA ISABEL,SUR
69,TOA ALTA,NORTE
70,TOA BAJA,NORTE
71,TRUJILLO ALTO,METRO
72,UTUADO,CENTRO
73,VEGA ALTA,NORTE
74,VEGA BAJA,NORTE
75,VIEQUES,ESTE
76,VILLALBA,SUR
77,YABUCOA,ESTE
78,YAUCO,OESTE
